#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Ctss	Cd74	2112192	2109124	10090.ENSMUSP00000112006	10090.ENSMUSP00000095171	0	0	0	0	0.412	0.181	0.9	0.689	0.983
H2-D1	H2-K1	2114543	2096205	10090.ENSMUSP00000134570	10090.ENSMUSP00000025181	0	0	0	0.984	0.818	0	0.9	0.962	0.981
Ccl5	Pf4	2100220	2098149	10090.ENSMUSP00000039600	10090.ENSMUSP00000031320	0	0	0	0	0	0.111	0.9	0.773	0.978
Ncf1	Rac2	2111516	2099612	10090.ENSMUSP00000106906	10090.ENSMUSP00000036384	0	0	0	0	0.164	0.103	0.9	0.737	0.977
Cxcl10	Pf4	2101692	2098149	10090.ENSMUSP00000047646	10090.ENSMUSP00000031320	0	0	0	0	0	0	0.941	0.607	0.976
Gnrh1	Trh	2111494	2093765	10090.ENSMUSP00000106724	10090.ENSMUSP00000006046	0	0	0	0	0.052	0	0.9	0.76	0.975
Ncf1	Ncf4	2111516	2108995	10090.ENSMUSP00000106906	10090.ENSMUSP00000094084	0	0	0	0.638	0.318	0.535	0.9	0.784	0.975
Tuba8	Tubb6	2098420	2093244	10090.ENSMUSP00000032233	10090.ENSMUSP00000001513	0	0	0	0.917	0.66	0.563	0.834	0.597	0.974
C4b	C1qa	2105191	2101938	10090.ENSMUSP00000069418	10090.ENSMUSP00000048836	0	0	0	0	0.209	0	0.9	0.708	0.974
Apoc1	Apoc4	2101317	2093454	10090.ENSMUSP00000045571	10090.ENSMUSP00000003071	0	0	0	0	0.378	0	0.9	0.601	0.973
Fn1	Timp1	2102911	2094016	10090.ENSMUSP00000054499	10090.ENSMUSP00000009530	0	0	0	0	0.205	0	0.9	0.668	0.971
Gnrh1	Hcrt	2111494	2103422	10090.ENSMUSP00000106724	10090.ENSMUSP00000057578	0	0	0	0	0	0	0.9	0.713	0.97
Ube2c	Pttg1	2107801	2094948	10090.ENSMUSP00000085581	10090.ENSMUSP00000020687	0	0	0	0	0.422	0	0.9	0.464	0.966
Fcer1g	Ptpn6	2106889	2093598	10090.ENSMUSP00000078875	10090.ENSMUSP00000004377	0	0	0	0	0.359	0	0.94	0.188	0.966
Adcy5	Gnal	2112021	2096283	10090.ENSMUSP00000110563	10090.ENSMUSP00000025402	0	0	0	0	0.126	0.101	0.95	0.231	0.966
H2-Ab1	Cd4	2100472	2096007	10090.ENSMUSP00000041008	10090.ENSMUSP00000024044	0	0	0	0	0	0.293	0.9	0.542	0.964
H2-Eb1	H2-Ab1	2106011	2100472	10090.ENSMUSP00000074143	10090.ENSMUSP00000041008	0	0	0	0.967	0.825	0	0.8	0.509	0.964
Adcy5	Pde10a	2112021	2107902	10090.ENSMUSP00000110563	10090.ENSMUSP00000086485	0	0	0	0	0.27	0.15	0.9	0.454	0.961
Rac2	Chn2	2099612	2099521	10090.ENSMUSP00000036384	10090.ENSMUSP00000035908	0	0	0	0	0.067	0.169	0.933	0.332	0.96
Hba-a1	Hbb-b1	2108431	2095990	10090.ENSMUSP00000090897	10090.ENSMUSP00000023934	0	0	0	0.904	0.184	0.95	0	0.668	0.96
Hba-a2	Hbb-b1	2108430	2095990	10090.ENSMUSP00000090895	10090.ENSMUSP00000023934	0	0	0	0.904	0.171	0.95	0	0.671	0.959
Oxt	Trh	2097293	2093765	10090.ENSMUSP00000028764	10090.ENSMUSP00000006046	0	0	0	0	0.102	0	0.9	0.589	0.959
Hbb-b2	Hba-a2	2109278	2108430	10090.ENSMUSP00000095794	10090.ENSMUSP00000090895	0	0	0	0.904	0.17	0.95	0	0.427	0.958
Drd2	Penk	2106210	2104856	10090.ENSMUSP00000075170	10090.ENSMUSP00000066822	0	0	0	0	0.099	0.047	0.9	0.576	0.958
Ctss	H2-Ab1	2112192	2100472	10090.ENSMUSP00000112006	10090.ENSMUSP00000041008	0	0	0	0	0.423	0.067	0.9	0.31	0.957
Tac1	Nts	2108108	2094752	10090.ENSMUSP00000088175	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0.596	0.957
Gnrh1	Oxt	2111494	2097293	10090.ENSMUSP00000106724	10090.ENSMUSP00000028764	0	0	0	0	0.069	0	0.9	0.541	0.953
H2-Aa	Cd4	2101405	2096007	10090.ENSMUSP00000046105	10090.ENSMUSP00000024044	0	0	0	0	0	0.502	0.9	0.142	0.953
Arpc1b	Nckap1	2107483	2097202	10090.ENSMUSP00000082822	10090.ENSMUSP00000028386	0	0	0	0	0.052	0	0.95	0.087	0.953
Gnrh1	Avp	2111494	2099466	10090.ENSMUSP00000106724	10090.ENSMUSP00000035551	0	0	0	0	0.074	0	0.9	0.526	0.952
Ccl9	Ccl6	2094627	2094606	10090.ENSMUSP00000019266	10090.ENSMUSP00000019071	0	0	0	0.941	0.52	0	0.9	0.664	0.951
C1qa	Serping1	2101938	2095997	10090.ENSMUSP00000048836	10090.ENSMUSP00000023994	0	0	0	0	0.334	0	0.8	0.664	0.951
H2-Ab1	Ptpn6	2100472	2093598	10090.ENSMUSP00000041008	10090.ENSMUSP00000004377	0	0	0	0	0.288	0	0.927	0.103	0.949
Bglap2	Spp1	2109496	2107626	10090.ENSMUSP00000096555	10090.ENSMUSP00000084043	0	0	0	0	0.052	0	0	0.946	0.947
Spp1	Bglap	2107626	2106250	10090.ENSMUSP00000084043	10090.ENSMUSP00000075425	0	0	0	0	0.052	0	0	0.945	0.946
Tac1	Trh	2108108	2093765	10090.ENSMUSP00000088175	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0.488	0.946
Gnrh1	Tac1	2111494	2108108	10090.ENSMUSP00000106724	10090.ENSMUSP00000088175	0	0	0	0	0.069	0	0.9	0.463	0.945
Fn1	Pf4	2102911	2098149	10090.ENSMUSP00000054499	10090.ENSMUSP00000031320	0	0	0	0	0.091	0	0.9	0.445	0.945
Avp	Oxt	2099466	2097293	10090.ENSMUSP00000035551	10090.ENSMUSP00000028764	0	0	0	0.974	0.465	0	0.9	0.74	0.945
Ccl5	Ccl9	2100220	2094627	10090.ENSMUSP00000039600	10090.ENSMUSP00000019266	0	0	0	0	0	0	0.9	0.469	0.944
Gh	Socs3	2110157	2103700	10090.ENSMUSP00000099360	10090.ENSMUSP00000059129	0	0	0	0	0	0	0.919	0.324	0.943
Cxcl10	Ccl2	2101692	2093070	10090.ENSMUSP00000047646	10090.ENSMUSP00000000193	0	0	0	0	0.557	0	0.397	0.803	0.943
Cxcl10	Ccl9	2101692	2094627	10090.ENSMUSP00000047646	10090.ENSMUSP00000019266	0	0	0	0	0.085	0	0.9	0.43	0.943
Tac1	Hcrt	2108108	2103422	10090.ENSMUSP00000088175	10090.ENSMUSP00000057578	0	0	0	0	0	0	0.9	0.448	0.942
Hcrt	Trh	2103422	2093765	10090.ENSMUSP00000057578	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0.436	0.941
P2ry6	Ccl6	2103110	2094606	10090.ENSMUSP00000055697	10090.ENSMUSP00000019071	0	0	0	0	0.415	0	0.9	0	0.939
Ccl5	Ccl6	2100220	2094606	10090.ENSMUSP00000039600	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0.408	0.938
Gnrh1	Pmch	2111494	2101077	10090.ENSMUSP00000106724	10090.ENSMUSP00000044352	0	0	0	0	0.069	0	0.9	0.387	0.937
Cxcl10	Ccl6	2101692	2094606	10090.ENSMUSP00000047646	10090.ENSMUSP00000019071	0	0	0	0	0	0	0.9	0.404	0.937
C4b	C1qb	2105191	2100338	10090.ENSMUSP00000069418	10090.ENSMUSP00000040246	0	0	0	0	0.147	0	0.9	0.31	0.936
C4b	C1qc	2105191	2099670	10090.ENSMUSP00000069418	10090.ENSMUSP00000036747	0	0	0	0	0.177	0	0.9	0.292	0.936
Tac1	Pmch	2108108	2101077	10090.ENSMUSP00000088175	10090.ENSMUSP00000044352	0	0	0	0	0.069	0	0.9	0.376	0.936
Adcy5	Gng7	2112021	2108316	10090.ENSMUSP00000110563	10090.ENSMUSP00000089936	0	0	0	0	0.165	0	0.916	0.143	0.935
H2-T23	H2-K1	2110335	2096205	10090.ENSMUSP00000099739	10090.ENSMUSP00000025181	0	0	0	0.979	0.377	0	0.9	0.347	0.935
Hcrt	Oxt	2103422	2097293	10090.ENSMUSP00000057578	10090.ENSMUSP00000028764	0	0	0	0	0.198	0	0.9	0.247	0.934
Tac1	Oxt	2108108	2097293	10090.ENSMUSP00000088175	10090.ENSMUSP00000028764	0	0	0	0	0.069	0	0.9	0.357	0.934
Fcgr4	Fcgr1	2106682	2097634	10090.ENSMUSP00000077873	10090.ENSMUSP00000029748	0	0	0	0.835	0.622	0.115	0.8	0.641	0.934
Pf4	Ccl9	2098149	2094627	10090.ENSMUSP00000031320	10090.ENSMUSP00000019266	0	0	0	0	0.138	0	0.9	0.295	0.933
H2-Q4	H2-K1	2107098	2096205	10090.ENSMUSP00000080159	10090.ENSMUSP00000025181	0	0	0	0.979	0.362	0	0.9	0.224	0.933
Ctss	H2-Aa	2112192	2101405	10090.ENSMUSP00000112006	10090.ENSMUSP00000046105	0	0	0	0	0.33	0	0.9	0.079	0.933
Pf4	Ccl6	2098149	2094606	10090.ENSMUSP00000031320	10090.ENSMUSP00000019071	0	0	0	0	0.123	0	0.9	0.293	0.932
C4b	C3	2105191	2096155	10090.ENSMUSP00000069418	10090.ENSMUSP00000024988	0	0	0	0.762	0.245	0	0.9	0.591	0.932
Ccl5	C3	2100220	2096155	10090.ENSMUSP00000039600	10090.ENSMUSP00000024988	0	0	0	0	0.116	0	0.9	0.281	0.93
Avp	Trh	2099466	2093765	10090.ENSMUSP00000035551	10090.ENSMUSP00000006046	0	0	0	0	0.092	0	0.9	0.297	0.93
Fcer1g	Fcgr4	2106889	2106682	10090.ENSMUSP00000078875	10090.ENSMUSP00000077873	0	0	0	0	0.413	0.111	0.8	0.416	0.93
H2-D1	H2-T23	2114543	2110335	10090.ENSMUSP00000134570	10090.ENSMUSP00000099739	0	0	0	0.977	0.332	0	0.9	0.31	0.93
Tnnt1	Actn2	2105554	2104973	10090.ENSMUSP00000071704	10090.ENSMUSP00000067708	0	0	0	0	0.247	0.115	0.9	0.066	0.929
Mapk12	Dusp5	2107875	2101747	10090.ENSMUSP00000086207	10090.ENSMUSP00000047900	0	0	0	0	0.051	0.418	0.831	0.331	0.929
Pmch	Trh	2101077	2093765	10090.ENSMUSP00000044352	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0.319	0.928
Adcy5	Pde1b	2112021	2095738	10090.ENSMUSP00000110563	10090.ENSMUSP00000023132	0	0	0	0	0.229	0	0.9	0.151	0.928
Crhr1	Avp	2108515	2099466	10090.ENSMUSP00000091455	10090.ENSMUSP00000035551	0	0	0	0	0	0	0.9	0.311	0.928
Pf4	Timp1	2098149	2094016	10090.ENSMUSP00000031320	10090.ENSMUSP00000009530	0	0	0	0	0.051	0	0.9	0.31	0.928
Ctsc	Ctsz	2098573	2094362	10090.ENSMUSP00000032779	10090.ENSMUSP00000016400	0	0	0.363	0.752	0.114	0	0.9	0.543	0.926
Gng13	Gngt2	2112047	2101681	10090.ENSMUSP00000110760	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.9	0.296	0.926
Adcy5	Adora2a	2112021	2110683	10090.ENSMUSP00000110563	10090.ENSMUSP00000101060	0	0	0	0	0.118	0	0.907	0.174	0.926
B2m	Tyrobp	2110238	2098577	10090.ENSMUSP00000099534	10090.ENSMUSP00000032800	0	0	0	0	0.131	0	0.9	0.224	0.926
Pf4	Srgn	2098149	2094813	10090.ENSMUSP00000031320	10090.ENSMUSP00000020271	0	0	0	0	0.123	0.111	0.9	0.172	0.926
Pmch	Oxt	2101077	2097293	10090.ENSMUSP00000044352	10090.ENSMUSP00000028764	0	0	0	0	0.18	0	0.9	0.171	0.926
Gng7	Gnal	2108316	2096283	10090.ENSMUSP00000089936	10090.ENSMUSP00000025402	0	0	0	0	0.143	0.35	0.841	0.258	0.925
Oxt	Nts	2097293	2094752	10090.ENSMUSP00000028764	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0.287	0.925
C3	Itgb2	2096155	2093087	10090.ENSMUSP00000024988	10090.ENSMUSP00000000299	0	0	0	0	0.096	0.101	0.901	0.169	0.924
Fn1	Serping1	2102911	2095997	10090.ENSMUSP00000054499	10090.ENSMUSP00000023994	0	0	0	0	0.088	0.046	0.9	0.233	0.924
Usp18	Oasl2	2098409	2098226	10090.ENSMUSP00000032198	10090.ENSMUSP00000031542	0	0	0	0	0.876	0.115	0	0.364	0.924
Gng5	Gngt2	2108023	2101681	10090.ENSMUSP00000087485	10090.ENSMUSP00000047586	0	0	0	0	0.05	0	0.9	0.27	0.924
Gng7	Gngt2	2108316	2101681	10090.ENSMUSP00000089936	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.9	0.279	0.924
Drd2	Pmch	2106210	2101077	10090.ENSMUSP00000075170	10090.ENSMUSP00000044352	0	0	0	0	0	0.062	0.9	0.254	0.923
Lgals3bp	Serping1	2099471	2095997	10090.ENSMUSP00000035579	10090.ENSMUSP00000023994	0	0	0	0	0.112	0	0.9	0.208	0.923
Rac2	Nckap1	2099612	2097202	10090.ENSMUSP00000036384	10090.ENSMUSP00000028386	0	0	0	0	0	0.396	0.866	0.13	0.923
Fn1	Lgals3bp	2102911	2099471	10090.ENSMUSP00000054499	10090.ENSMUSP00000035579	0	0	0	0	0	0.107	0.9	0.205	0.922
Ifit3	Oasl2	2110406	2098226	10090.ENSMUSP00000099889	10090.ENSMUSP00000031542	0	0	0	0	0.805	0.242	0	0.514	0.922
Cd14	Ly86	2103283	2095315	10090.ENSMUSP00000056669	10090.ENSMUSP00000021860	0	0	0	0	0.184	0	0.9	0.119	0.921
Rps6ka1	Eif4ebp1	2110756	2098910	10090.ENSMUSP00000101514	10090.ENSMUSP00000033880	0	0	0	0	0	0.316	0.218	0.865	0.921
Hcrt	Avp	2103422	2099466	10090.ENSMUSP00000057578	10090.ENSMUSP00000035551	0	0	0	0	0.146	0	0.9	0.156	0.921
Gng13	Adcy5	2112047	2112021	10090.ENSMUSP00000110760	10090.ENSMUSP00000110563	0	0	0	0	0	0	0.916	0.096	0.921
Tac1	P2ry6	2108108	2103110	10090.ENSMUSP00000088175	10090.ENSMUSP00000055697	0	0	0	0	0	0	0.9	0.246	0.921
Fermt3	Pf4	2099882	2098149	10090.ENSMUSP00000037858	10090.ENSMUSP00000031320	0	0	0	0	0.192	0	0.9	0.098	0.92
Adcy5	Gpr83	2112021	2099109	10090.ENSMUSP00000110563	10090.ENSMUSP00000034408	0	0	0	0	0.121	0	0.907	0.099	0.92
Pmch	Ccl5	2101077	2100220	10090.ENSMUSP00000044352	10090.ENSMUSP00000039600	0	0	0	0	0	0	0.9	0.242	0.92
Tnnt1	Vim	2105554	2097089	10090.ENSMUSP00000071704	10090.ENSMUSP00000028062	0	0	0	0	0	0	0.9	0.235	0.92
Gng13	Gnal	2112047	2096283	10090.ENSMUSP00000110760	10090.ENSMUSP00000025402	0	0	0	0	0.043	0.35	0.841	0.28	0.919
Lgals3bp	Timp1	2099471	2094016	10090.ENSMUSP00000035579	10090.ENSMUSP00000009530	0	0	0	0	0.095	0	0.9	0.176	0.919
Fn1	Fermt3	2102911	2099882	10090.ENSMUSP00000054499	10090.ENSMUSP00000037858	0	0	0	0	0	0	0.9	0.225	0.919
Serping1	Timp1	2095997	2094016	10090.ENSMUSP00000023994	10090.ENSMUSP00000009530	0	0	0	0	0.103	0	0.9	0.171	0.919
H2-D1	H2-Q4	2114543	2107098	10090.ENSMUSP00000134570	10090.ENSMUSP00000080159	0	0	0	0.978	0.211	0	0.9	0.235	0.918
Cxcl10	Ccl4	2101692	2094607	10090.ENSMUSP00000047646	10090.ENSMUSP00000019074	0	0	0	0	0.543	0	0.246	0.782	0.918
P2ry6	Avp	2103110	2099466	10090.ENSMUSP00000055697	10090.ENSMUSP00000035551	0	0	0	0	0	0	0.9	0.22	0.918
Tac1	Avp	2108108	2099466	10090.ENSMUSP00000088175	10090.ENSMUSP00000035551	0	0	0	0	0.052	0	0.9	0.21	0.918
Fn1	Srgn	2102911	2094813	10090.ENSMUSP00000054499	10090.ENSMUSP00000020271	0	0	0	0	0	0	0.9	0.215	0.918
Actn2	Fermt3	2104973	2099882	10090.ENSMUSP00000067708	10090.ENSMUSP00000037858	0	0	0	0	0.052	0.112	0.9	0.137	0.917
Fermt3	Srgn	2099882	2094813	10090.ENSMUSP00000037858	10090.ENSMUSP00000020271	0	0	0	0	0.196	0	0.9	0.053	0.917
Fcgr3	Fcgr4	2114228	2106682	10090.ENSMUSP00000131938	10090.ENSMUSP00000077873	0	0	0	0.922	0.578	0	0.8	0.732	0.917
Gng13	Gng7	2112047	2108316	10090.ENSMUSP00000110760	10090.ENSMUSP00000089936	0	0	0	0	0	0	0.9	0.212	0.917
P2ry6	Ccl9	2103110	2094627	10090.ENSMUSP00000055697	10090.ENSMUSP00000019266	0	0	0	0	0.2	0	0.9	0	0.916
Adcy5	Gng5	2112021	2108023	10090.ENSMUSP00000110563	10090.ENSMUSP00000087485	0	0	0	0	0	0	0.916	0	0.916
Pmch	Avp	2101077	2099466	10090.ENSMUSP00000044352	10090.ENSMUSP00000035551	0	0	0	0	0.18	0	0.9	0.06	0.916
Cd4	Il16	2096007	2093286	10090.ENSMUSP00000024044	10090.ENSMUSP00000001792	0	0	0	0	0.053	0.091	0.9	0.149	0.916
Adcy5	Gngt2	2112021	2101681	10090.ENSMUSP00000110563	10090.ENSMUSP00000047586	0	0	0	0	0	0	0.916	0	0.916
Pf4	Serping1	2098149	2095997	10090.ENSMUSP00000031320	10090.ENSMUSP00000023994	0	0	0	0	0	0	0.9	0.202	0.916
Bglap2	Bglap	2109496	2106250	10090.ENSMUSP00000096555	10090.ENSMUSP00000075425	0	0	0	0.982	0.182	0	0.9	0.422	0.915
Nts	Trh	2094752	2093765	10090.ENSMUSP00000020040	10090.ENSMUSP00000006046	0	0	0	0	0	0	0.9	0.184	0.914
Gnrh1	Nts	2111494	2094752	10090.ENSMUSP00000106724	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0.18	0.914
Mapk12	Cdh15	2107875	2099123	10090.ENSMUSP00000086207	10090.ENSMUSP00000034443	0	0	0	0	0	0.056	0.913	0	0.914
Cd74	H2-Eb1	2109124	2106011	10090.ENSMUSP00000095171	10090.ENSMUSP00000074143	0	0	0	0	0.795	0.57	0	0.093	0.913
C3	Ccl9	2096155	2094627	10090.ENSMUSP00000024988	10090.ENSMUSP00000019266	0	0	0	0	0.151	0	0.9	0.067	0.913
Gng13	Gng5	2112047	2108023	10090.ENSMUSP00000110760	10090.ENSMUSP00000087485	0	0	0	0	0	0	0.9	0.17	0.913
Cxcl10	C3	2101692	2096155	10090.ENSMUSP00000047646	10090.ENSMUSP00000024988	0	0	0	0	0	0	0.9	0.171	0.913
Actn2	Vim	2104973	2097089	10090.ENSMUSP00000067708	10090.ENSMUSP00000028062	0	0	0	0	0.053	0.074	0.9	0.121	0.912
Actn2	Fn1	2104973	2102911	10090.ENSMUSP00000067708	10090.ENSMUSP00000054499	0	0	0	0	0.052	0	0.9	0.153	0.912
Pmch	C3	2101077	2096155	10090.ENSMUSP00000044352	10090.ENSMUSP00000024988	0	0	0	0	0.042	0	0.9	0.15	0.911
Ifitm3	C3	2096659	2096155	10090.ENSMUSP00000026565	10090.ENSMUSP00000024988	0	0	0	0	0.146	0	0.9	0	0.91
Cd4	Ptpn6	2096007	2093598	10090.ENSMUSP00000024044	10090.ENSMUSP00000004377	0	0	0	0	0	0.069	0.9	0.118	0.91
H2-Aa	Ptpn6	2101405	2093598	10090.ENSMUSP00000046105	10090.ENSMUSP00000004377	0	0	0	0	0.142	0	0.9	0	0.91
Pf4	C3	2098149	2096155	10090.ENSMUSP00000031320	10090.ENSMUSP00000024988	0	0	0	0	0	0	0.9	0.134	0.909
Pmch	Nts	2101077	2094752	10090.ENSMUSP00000044352	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0.129	0.909
Fermt3	Lgals3bp	2099882	2099471	10090.ENSMUSP00000037858	10090.ENSMUSP00000035579	0	0	0	0	0.131	0	0.9	0	0.909
Adcy5	Gpr84	2112021	2106869	10090.ENSMUSP00000110563	10090.ENSMUSP00000078753	0	0	0	0	0	0	0.907	0.051	0.908
Cxcl10	Gal	2101692	2096432	10090.ENSMUSP00000047646	10090.ENSMUSP00000025842	0	0	0	0	0	0	0.9	0.119	0.908
Crhr1	Gpr83	2108515	2099109	10090.ENSMUSP00000091455	10090.ENSMUSP00000034408	0	0	0	0	0.082	0.048	0.9	0.063	0.907
C3	Ccl6	2096155	2094606	10090.ENSMUSP00000024988	10090.ENSMUSP00000019071	0	0	0	0	0.108	0	0.9	0.051	0.907
Srgn	Timp1	2094813	2094016	10090.ENSMUSP00000020271	10090.ENSMUSP00000009530	0	0	0	0	0	0	0.9	0.113	0.907
Adora2a	Crhr1	2110683	2108515	10090.ENSMUSP00000101060	10090.ENSMUSP00000091455	0	0	0	0	0.049	0.048	0.9	0.095	0.907
Hcrt	Nts	2103422	2094752	10090.ENSMUSP00000057578	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0.114	0.907
Adora2a	Gpr83	2110683	2099109	10090.ENSMUSP00000101060	10090.ENSMUSP00000034408	0	0	0	0.643	0.112	0	0.9	0	0.907
Ube2c	Psmb8	2107801	2096210	10090.ENSMUSP00000085581	10090.ENSMUSP00000025196	0	0	0	0	0	0.107	0.9	0.044	0.907
Adcy5	Crhr1	2112021	2108515	10090.ENSMUSP00000110563	10090.ENSMUSP00000091455	0	0	0	0	0.076	0	0.9	0.073	0.906
Cxcl10	Pmch	2101692	2101077	10090.ENSMUSP00000047646	10090.ENSMUSP00000044352	0	0	0	0	0	0	0.9	0.104	0.906
Serping1	Srgn	2095997	2094813	10090.ENSMUSP00000023994	10090.ENSMUSP00000020271	0	0	0	0	0.084	0	0.9	0.063	0.906
Gnrh1	P2ry6	2111494	2103110	10090.ENSMUSP00000106724	10090.ENSMUSP00000055697	0	0	0	0	0	0	0.9	0.093	0.905
Ccl5	Gal	2100220	2096432	10090.ENSMUSP00000039600	10090.ENSMUSP00000025842	0	0	0	0	0	0	0.9	0.097	0.905
Actn2	Serping1	2104973	2095997	10090.ENSMUSP00000067708	10090.ENSMUSP00000023994	0	0	0	0	0.076	0.064	0.9	0	0.905
Avp	Nts	2099466	2094752	10090.ENSMUSP00000035551	10090.ENSMUSP00000020040	0	0	0	0	0	0	0.9	0.083	0.904
Penk	Gal	2104856	2096432	10090.ENSMUSP00000066822	10090.ENSMUSP00000025842	0	0	0	0	0	0	0.9	0.086	0.904
Drd2	Gal	2106210	2096432	10090.ENSMUSP00000075170	10090.ENSMUSP00000025842	0	0	0	0	0	0.062	0.9	0.064	0.904
Lgals3bp	Srgn	2099471	2094813	10090.ENSMUSP00000035579	10090.ENSMUSP00000020271	0	0	0	0	0.087	0	0.9	0	0.904
Ifitm1	C3	2096658	2096155	10090.ENSMUSP00000026564	10090.ENSMUSP00000024988	0	0	0	0	0.085	0	0.9	0	0.904
Dao	Gnmt	2111638	2093424	10090.ENSMUSP00000107911	10090.ENSMUSP00000002846	0	0	0	0	0.049	0	0.9	0.064	0.903
Avp	Gpr83	2099466	2099109	10090.ENSMUSP00000035551	10090.ENSMUSP00000034408	0	0	0	0	0	0.062	0.9	0.051	0.903
Drd2	Ccl6	2106210	2094606	10090.ENSMUSP00000075170	10090.ENSMUSP00000019071	0	0	0	0	0	0.062	0.9	0.056	0.903
Penk	Pmch	2104856	2101077	10090.ENSMUSP00000066822	10090.ENSMUSP00000044352	0	0	0	0	0.069	0	0.9	0.048	0.903
